station	tmax_range	tmin_range	range_diff	lat	lon	elev	state	indicator
AQW00061	2.6661290323	1.9064516129	0.7596774194	-14.3306	-170.7136	3.7	AS	1
ASM00094	4.2308112875	5.6323529412	-1.401541654	-18.3	143.55	295		1
ASM00094	4.2308112875	5.6323529412	-1.401541654	-16.288	149.965	9		1
ASM00094	4.2308112875	5.6323529412	-1.401541654	-35.083	150.8	85		1
ASM00094	4.2308112875	5.6323529412	-1.401541654	-31.542	159.079	7		1
ASM00094	4.2308112875	5.6323529412	-1.401541654	-53.1	73.717	12		1
ASM00094	4.2308112875	5.6323529412	-1.401541654	-54.499	158.937	8.3		1
ASN00001	6.2881300702	11.097991543	-4.809861473	-16.2919	127.1956	320		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.1806	127.8456	2		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.1331	126.7158	5		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.4167	124.7167	47		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.4644	128.1	20		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.51	128.1503	3.8		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-13.7542	126.1485	6		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-16.3017	126.1825	640		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.4875	124.5222	12		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.7883	126.4964	210		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-16.0497	124.95	-999.9		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.7925	125.8258	315		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.4872	128.1247	11		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.9078	128.1289	130		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.4861	126.7664	59		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.5	127.8333	-999.9		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-16.4181	126.1025	546		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.2964	126.6453	23		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.09	126.3867	51		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.2961	126.6431	23		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.4997	128.1997	-999.9		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-16.0086	127.9806	90		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.9572	127.0628	300		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.3797	126.3114	385		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.7025	126.3786	370		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.6394	128.0803	14		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.7231	127.8297	10		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.5786	125.9133	3		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-13.96	127.1964	60		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-14.1472	126.6483	6		3
ASN00001	6.2881300702	11.097991543	-4.809861473	-15.5969	128.2781	20		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.2467	131.1117	153		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.765	130.6286	12		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.45	130.9667	330		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4444	130.9542	35		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.5	131.4	77		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.6628	130.5719	3		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.5333	131.7	115		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.3167	131.7667	19		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5547	130.8677	10		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.7511	130.3784	12		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.1456	132.5688	35		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.81	130.4576	23		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.9242	131.235	42		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4239	130.8925	30.4		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4	130.8	24.4		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4867	130.9	30		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4394	130.8419	15		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4333	130.85	18		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3858	130.8553	9		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.1137	130.7981	82		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.8136	130.9875	100		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.4833	131	60		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.65	131.2833	3		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3889	131.1767	30		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.8381	131.1306	41		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.0458	131.0342	105		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.6836	130.5853	2		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4227	130.8844	30		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.605	131.2988	14.1		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3263	133.0581	6.7		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.8001	131.4309	20		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.2248	131.0923	12		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4353	130.8374	12		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4706	130.8455	5		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.3307	131.0529	123		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4988	130.9633	16		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.1248	131.1131	70		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.481	131.1173	206		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.9767	131.1147	78		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.7809	130.9663	34		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-14.0829	131.8099	203		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.7	131.3	30		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13	131	30		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-14.1435	132.1925	242		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.05	130.75	120		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.65	131.2333	38.1		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.1383	131.0017	100		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.49	130.9881	44		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.5833	132.1333	200		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.5835	131.4576	152		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4167	130.8	130		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.05	131.1333	50		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.7625	132.6583	8		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.6367	131.0733	35		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.7	132.15	152		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.6495	131.3181	77		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.7653	130.8881	70		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.55	131.5	221		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5781	131.3145	10		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.525	132.5139	183		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.2373	131.1042	52.5		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.25	131.1	45		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.8167	131.8667	250		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.65	131.2833	41		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.05	131.1333	45.7		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.4258	130.6758	5		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.85	131.1333	60		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3333	130.8833	8		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.65	131.2833	41		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.6	131.2333	40		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.1	131.2333	23		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5617	131.0717	38		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3786	130.8469	7		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3559	131.4932	6		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4429	130.9325	35		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.2167	131.8333	5		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.4667	131.4167	100		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.85	131.8	230		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4	130.6	15		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.1833	131	86		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.45	130.8333	15.2		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.538	130.6985	25		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3667	131.8667	6.1		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5833	131.9167	9.1		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.15	131	98		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.05	131.03	104		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4428	130.9556	34		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.4022	130.4217	18.3		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.8003	131.0507	51		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3962	130.8785	16		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5777	131.2535	22		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.9167	131.1667	107		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.1425	130.9312	80		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4558	131.0505	34		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.7267	131.01	9		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.2167	131	152		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-11.1538	132.143	5		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4058	130.9413	10		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-14.2225	131.9303	85		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5045	130.9906	20		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.6102	131.2901	15.2		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5723	131.1006	41		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4667	130.8333	27.4		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.399	130.8508	5		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4396	130.8376	15.2		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.3931	130.8714	10		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.5931	132.88	31		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4333	130.85	12		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-12.4648	130.8495	41		3
ASN00014	6.0313705882	10.681407575	-4.650036987	-13.0533	130.995	84		3
