station	mntmax14	mntmax13	tmax_diff
AE000041	24.092592593	25.751851852	-1.659259259
AEM00041	23.632394366	25.226136364	-1.593741997
AG000060	19.84494382	18.015789474	1.8291543465
AGE00147	17.796629213	17.162962963	0.6336662505
AGM00060	16.304824903	15.550805833	0.75401907
AJ000037	8.125170068	9.1902097902	-1.065039722
ALM00013	15.176190476	12.696296296	2.4798941799
AM000037	-3.196551724	-3.332258065	0.1357063404
AMM00037	-0.662068966	-0.693548387	0.0314794216
AQW00061	30.132258065	29.883870968	0.2483870968
AR000000	35.226315789	32.066666667	3.1596491228
AR000087	30.772064777	31.093495935	-0.321431158
AR000870	30.830769231	29.347058824	1.4837104072
AR000875	31.769230769	31.446666667	0.3225641026
AR000877	34.923529412	32.716666667	2.2068627451
ARM00087	31.853108348	31.542294521	0.3108138276
ASM00094	21.71875	22.294444444	-0.575694444
ASN00001	33.677209302	34.594930876	-0.917721573
ASN00002	35.812903226	38.119354839	-2.306451613
ASN00003	35.633532934	36.10754717	-0.474014236
ASN00004	36.973364486	37.824766355	-0.851401869
ASN00005	37.458709677	36.841397849	0.617311828
ASN00006	36.349032258	36.85	-0.500967742
ASN00007	38.163225806	38.526315789	-0.363089983
ASN00008	35.179365079	35.01259542	0.1667696595
ASN00009	29.79556907	29.497253219	0.2983158515
ASN00010	33.686656442	32.868597561	0.8180588807
ASN00011	28.824836601	30.396052632	-1.57121603
ASN00012	34.449240122	35.673372781	-1.224132659
ASN00013	38.744444444	40.075147929	-1.330703485
ASN00014	33.159742829	35.199803729	-2.0400609
ASN00015	36.703153153	40.628708134	-3.925554981
ASN00016	37.99627907	38.128502415	-0.132223346
ASN00017	39.472527473	40.02032967	-0.547802198
ASN00018	31.002862986	30.140163934	0.8626990513
ASN00019	36.408823529	34.453225806	1.955597723
ASN00020	35.311290323	34.462903226	0.8483870968
ASN00021	33.70989011	32.006451613	1.703438497
ASN00022	28.49760274	27.536805556	0.9607971842
ASN00023	30.118930041	28.382617587	1.7363124542
ASN00024	32.052112676	30.444700461	1.6074122152
ASN00025	33.681756757	30.939597315	2.7421594413
ASN00026	28.012145749	26.715853659	1.2962920905
ASN00027	31.477419355	32.775816993	-1.298397639
ASN00028	32.819354839	33.819354839	-1
ASN00029	36.667207792	37.539169139	-0.871961347
ASN00030	37.8075	38.590082645	-0.782582645
ASN00031	31.946733668	32.676923077	-0.730189409
ASN00032	31.310752688	32.345394737	-1.034642049
ASN00033	31.166084788	31.641309824	-0.475225036
ASN00034	34.687096774	36.325806452	-1.638709677
ASN00035	35.801612903	35.763709677	0.0379032258
ASN00036	38.589344262	39.020967742	-0.43162348
ASN00037	39.55483871	41.256198347	-1.701359637
ASN00038	40.780392157	42.457407407	-1.677015251
ASN00039	31.798355263	32.04011976	-0.241764497
ASN00040	30.323906706	30.46684492	-0.142938214
ASN00041	31.690688259	31.720652174	-0.029963915
ASN00042	34.496296296	34.609677419	-0.113381123
ASN00043	36.244805195	36.608724832	-0.363919637
ASN00044	37.040449438	39.129268293	-2.088818854
ASN00045	39.896774194	41.530952381	-1.634178187
ASN00046	38.103763441	39.435483871	-1.33172043
ASN00047	36.24	36.262666667	-0.022666667
ASN00048	37.142995169	39.091878173	-1.948883004
ASN00049	35.912962963	36.62745098	-0.714488017
ASN00050	34.841935484	37.292436975	-2.450501491
ASN00051	35.682795699	38.024137931	-2.341342232
ASN00052	37.379032258	38.655172414	-1.276140156
ASN00053	35.932258065	35.725806452	0.2064516129
ASN00054	35.331578947	35.360493827	-0.02891488
ASN00055	34.681699346	34.303870968	0.3778283787
ASN00056	28.779338843	28.500921659	0.278417184
ASN00057	28.016129032	28.038709677	-0.022580645
ASN00058	29.306012658	29.751038576	-0.445025917
ASN00059	27.669032258	28.342580645	-0.673548387
ASN00060	28.439344262	28.788709677	-0.349365415
ASN00061	30.417525773	30.199175258	0.2183505155
ASN00062	30.940860215	31.152747253	-0.211887038
ASN00063	28.192250923	29.315053763	-1.122802841
ASN00064	33.907692308	34.209677419	-0.301985112
ASN00065	34.00516129	36.452287582	-2.447126291
ASN00066	27.358723404	27.942982456	-0.584259052
ASN00067	30.166985646	31.005405405	-0.838419759
ASN00068	26.938321168	27.873550725	-0.935229557
ASN00069	25.178476821	26.186451613	-1.007974792
ASN00070	28.625816993	29.532094595	-0.906277601
ASN00071	20.598611111	21.762121212	-1.163510101
ASN00072	31.412903226	31.135023041	0.2778801843
ASN00073	34.055284553	35.393495935	-1.338211382
ASN00074	34.384615385	34.78547486	-0.400859476
ASN00075	34.993548387	36.011290323	-1.017741935
ASN00076	35.359139785	33.976086957	1.3830528284
ASN00077	34.99516129	33.74516129	1.25
ASN00078	33.190322581	31.666129032	1.5241935484
