station	mntmax14	mntmax13	tmax_diff	indicator	lat	lon	elev	state
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.2333	-116.6667	1143	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.3833	-116.5333	1219	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.4333	-116.5333	1280	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.35	-116.3333	2045	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.2333	-116.5667	1140	BC
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	52.5	80.2	159	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	52.017	80.367	208	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.5	81.2167	216	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.15	82.2	354	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.63	84.32	409	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.433	86	420	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	52.267	87.167	327	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.8	87.6	482	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.42	87.8	550	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	51.72	94.5	626	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	52.47	96.1	919	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	50.28	85.62	977	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	50.75	86.133	833	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	50	88.68	1759	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	50.37	90.43	1850	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	50.27	95.12	1100	
RSM00036	-21.79074074	-11.57075893	-10.21998181	1	50	86.42	2601	
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.9828	-114.6586	1595	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.55	-116.0167	1920.2	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.9333	-115.4333	1880.6	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.9797	-115.4328	1844	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	35.7833	-115.3167	872.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.45	-115.65	1652.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.6	-115.7	1647.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.345	-115.6206	1767.8	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.9167	-118.3833	1269.5	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.8833	-118.4333	1280.2	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	37.6167	-115.2167	1204	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.6667	-115.25	1767.8	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.2667	-115.0333	2204.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.7436	-118.2258	1292.4	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.2036	-117.0892	2020.2	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.6333	-114.7333	1830	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.25	-115.6	2196.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.0633	-114.6147	1816.6	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.4689	-119.0644	1270.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.3667	-114.6167	1823.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.3167	-114.65	1935.5	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.7442	-115.4855	1752.6	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.7333	-115.4333	1922.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.7178	-115.5231	1780	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.6833	-115.4667	1918.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.1667	-115.1333	613	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.0469	-115.1847	693.4	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.65	-116.4	814.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.4167	-116.35	665.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	35.1692	-114.5806	184.4	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.5592	-115.6056	1770.3	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.3208	-115.6725	2482.6	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.5	-118.9167	1225.3	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39	-114.2167	2080.6	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.7	-119.8833	1524	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.5167	-118.7192	1292	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.2333	-119.85	1585.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	37.45	-117.5	1859.3	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.15	-115.4167	1158.8	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.6	-114.4833	427	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	36.6167	-114.4833	429.8	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	40.1808	-118.51	1211.3	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.8678	-115.0167	1690.4	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	37.16	-114.4681	841.2	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.3167	-115.25	1705.1	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.5333	-117.0833	2108	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.1833	-118.75	2204.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.1667	-119.9167	2439.9	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	38.9833	-119.75	1472.2	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.6	-119.6	1767.8	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.9953	-117.72	1350.3	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	41.9667	-117.6333	1556	NV
USC00264	10.344665012	1.3449871465	8.9996778659	2	39.4136	-114.7733	1911.1	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	41.6358	-115.8008	1901.6	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	41.4333	-114.75	1720	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	41.25	-117.6	1402.1	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	38.4333	-117.2	1866.9	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	40.9386	-117.7514	1327.4	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	38.9992	-119.1575	1335	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	39	-119.1667	1335.9	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	36.6667	-116.5	844.3	NV
USC00269	8.5322580645	-0.514444444	9.046702509	2	40.9833	-119.8167	1440.2	NV
USR0000E	9.8032258065	0.6774193548	9.1258064516	2	40.8	-111.9167	1709	UT
USR0000E	9.8032258065	0.6774193548	9.1258064516	2	37.5586	-113.7172	1627.6	UT
USS0048U	-12.92903226	-22.95806452	10.029032258	2	69.42	-148.69	304.8	AK
USS0064P	-99.9	-6.022580645	-93.87741935	1	64.56	-164.29	7.6	AK
