station	month	mntmax	stdtmax
AE000041	1	24.092592593	1.8910570764
AE000041	2	24.825	2.6383557479
AE000041	3	29.762962963	3.5403333337
AE000041	4	35.877272727	3.3625290678
AE000041	5	39.177777778	3.1957102657
AE000041	6	41.628571429	2.7270737461
AE000041	7	43.259259259	1.7104338764
AE000041	8	42.562068966	2.092915566
AE000041	9	41.017241379	2.0765818352
AE000041	10	37.464516129	1.7296528336
AE000041	11	30.720689655	2.2396395294
AE000041	12	27.442307692	1.9024559027
AEM00041	1	23.632394366	2.1278946435
AEM00041	2	24.965277778	3.2199273775
AEM00041	3	29.729487179	3.4799652549
AEM00041	4	36.129230769	3.589730277
AEM00041	5	39.39375	3.3153781979
AEM00041	6	41.455952381	3.1163908377
AEM00041	7	42.587341772	2.3535770424
AEM00041	8	42.429069767	2.2685505234
AEM00041	9	40.463855422	2.4655469048
AEM00041	10	37.029761905	1.8638462475
AEM00041	11	29.85125	2.0293413379
AEM00041	12	26.566666667	1.9329940154
AG000060	1	19.84494382	2.6737363726
AG000060	2	21.483783784	3.9900227289
AG000060	3	22.220754717	4.3715583602
AG000060	4	28.207843137	4.8745807261
AG000060	5	32.337254902	6.6830220944
AG000060	6	34.846666667	6.9636943893
AG000060	7	38.085185185	5.8800400271
AG000060	8	37.924489796	5.3397694477
AG000060	9	36.084745763	4.4215309238
AG000060	10	30.253448276	3.3710956893
AG000060	11	24.995833333	4.0947271924
AG000060	12	17.963461538	3.2709073423
AGE00147	1	17.796629213	2.5406893051
AGE00147	2	19.055696203	3.4691588737
AGE00147	3	19.028571429	3.1041197432
AGE00147	4	24.625882353	4.5995380964
AGE00147	5	26.526506024	5.1235011928
AGE00147	6	30.943529412	5.8518097945
AGE00147	7	33.848101266	6.1937491392
AGE00147	8	35.114444444	5.6419090145
AGE00147	9	32.505813953	5.1334280405
AGE00147	10	28.65862069	4.409649876
AGE00147	11	22.618518519	3.2075735031
AGE00147	12	17.1175	2.4426990156
AGM00060	1	16.304824903	4.59348805
AGM00060	2	17.968738404	5.2933497006
AGM00060	3	18.622970779	5.5147656406
AGM00060	4	25.565755764	5.5265742473
AGM00060	5	29.016504854	6.0019014059
AGM00060	6	32.623781998	5.9904700542
AGM00060	7	36.935304348	5.6911828224
AGM00060	8	37.43294702	4.8596600224
AGM00060	9	34.172147651	5.2492321059
AGM00060	10	28.608736217	4.7272033622
AGM00060	11	21.558191585	5.0943884325
AGM00060	12	14.747593583	4.5512248013
AJ000037	1	8.125170068	3.9802729173
AJ000037	2	6.9817829457	5.8008668277
AJ000037	3	13.418461538	4.3955801707
AJ000037	4	18.592086331	4.8814104718
AJ000037	5	27.120512821	3.5198421104
AJ000037	6	29.645090909	3.4831821557
AJ000037	7	31.784701493	2.782480824
AJ000037	8	34.447058824	2.4880319123
AJ000037	9	27.072535211	4.2986339249
AJ000037	10	17.305704698	4.8521022907
AJ000037	11	11.122073579	3.846463692
AJ000037	12	9.7802507837	3.6622953846
ALM00013	1	15.176190476	2.4322633003
ALM00013	2	16.661538462	2.8747280808
ALM00013	3	18.616666667	2.591737149
ALM00013	4	19.812	3.0097508203
ALM00013	5	23.747826087	3.6202548335
ALM00013	6	29.2	3.8517728186
ALM00013	7	30.469230769	2.3189254806
ALM00013	8	31.612	1.6086536814
ALM00013	9	26.759259259	1.9020756394
ALM00013	10	23.684	3.8815460837
ALM00013	11	20.591304348	2.6756329826
ALM00013	12	15.664	2.8758882686
AM000037	1	-3.196551724	3.8374547702
AM000037	2	-1.080769231	5.6796492308
AM000037	3	6.8366666667	4.0477736182
AM000037	4	12.116666667	4.8400686326
AM000037	5	17.312903226	2.8924893472
AM000037	6	20.343333333	3.297092066
AM000037	7	24.182758621	2.9752633696
AM000037	8	27.019354839	2.2707442766
AM000037	9	21.046666667	5.1293431275
AM000037	10	13.897575758	5.1571871648
AM000037	11	8.0103174603	4.6307792253
AM000037	12	5.7913934426	5.089281857
AMM00037	1	-0.662068966	2.3807882538
AMM00037	2	0.5107142857	4.8036513339
AMM00037	3	6.9516129032	3.7664192516
AMM00037	4	11.956666667	4.8856357602
AMM00037	5	16.94137931	2.8794242035
AMM00037	6	19.933333333	2.8732215889
AMM00037	7	21.962068966	2.3505947261
AMM00037	8	24.516666667	2.1376886218
AMM00037	9	20.216666667	3.7567487166
AMM00037	10	12.451612903	3.4472086261
AMM00037	11	5.0533333333	3.8245787087
AMM00037	12	2.0931034483	2.0627531939
AO000066	1	31.4	0.9092121131
AO000066	2	31.9	0.554977477
AO000066	3	31.8125	1.2569142108
AO000066	4	31.490909091	1.1510469543
AO000066	5	31.025	0.6849574196
AO000066	6	28.683333333	1.2351787995
AO000066	7	24.79	0.813019065
AO000066	8	26.135714286	1.3448518036
AO000066	9	26.633333333	0.8986100378
AO000066	10	29.046666667	1.6668476092
AO000066	11	30.266666667	2.0566227096
AO000066	12	30.08	1.4712482552
AQW00061	1	30.132258065	1.2399965314
AQW00061	2	31.25	0.7993052539
AQW00061	3	30.993548387	0.6418387564
