station	mntmax14	mntmax13	tmax_diff	indicator	lat	lon	elev	state
AU000006	6.3588235294	1.7764705882	4.5823529412	2	47.8	13	437	
AU000011	6.7	2.46875	4.23125	2	47.2667	11.4	577	
BE000006	8.844	3.9904761905	4.8535238095	2	50.8	4.35	104	
BR002143	30.7	26.558333333	4.1416666667	2	-21.31	-43.2	512	
BR002143	30.7	26.558333333	4.1416666667	2	-21.36	-43.05	398	
BR002143	30.7	26.558333333	4.1416666667	2	-21.15	-43.52	780	
BR002143	30.7	26.558333333	4.1416666667	2	-21.03	-43.42	0	
BR002143	30.7	26.558333333	4.1416666667	2	-21.28	-43.82	997	
BR002143	30.7	26.558333333	4.1416666667	2	-21.19	-43.98	881	
BR002143	30.7	26.558333333	4.1416666667	2	-21.19	-43.61	1120	
BR002143	30.7	26.558333333	4.1416666667	2	-21.43	-43.96	980	
BR002143	30.7	26.558333333	4.1416666667	2	-21.27	-43.88	1030	
BR002143	30.7	26.558333333	4.1416666667	2	-21.67	-43.92	970	
BR002143	30.7	26.558333333	4.1416666667	2	-21.767	-43.35	911	
BR002143	30.7	26.558333333	4.1416666667	2	-21.9	-43.04	452	
BR002143	30.7	26.558333333	4.1416666667	2	-21.93	-43.35	459	
BR002143	30.7	26.558333333	4.1416666667	2	-21.92	-43.37	488	
BR002143	30.7	26.558333333	4.1416666667	2	-21.87	-43.56	442	
BR002143	30.7	26.558333333	4.1416666667	2	-21.35	-43.25	502	
BR002143	30.7	26.558333333	4.1416666667	2	-21.47	-43.12	397	
BR002143	30.7	26.558333333	4.1416666667	2	-21.86	-43.89	710	
BR002143	30.7	26.558333333	4.1416666667	2	-21.59	-43.51	702	
BR002143	30.7	26.558333333	4.1416666667	2	-21.97	-43.37	451	
BR002143	30.7	26.558333333	4.1416666667	2	-21.5	-43.15	472	
BR002143	30.7	26.558333333	4.1416666667	2	-21.35	-43.2	0	
BR002143	30.7	26.558333333	4.1416666667	2	-21.43	-43.55	860	
CA00116C	0.2222222222	-3.520833333	3.7430555556	2	50.6	-120.2	640	BC
CA00116C	0.2222222222	-3.520833333	3.7430555556	2	51.4167	-121.2333	1070	BC
CA00116C	0.2222222222	-3.520833333	3.7430555556	2	51.5667	-121.15	1070	BC
CA00116C	0.2222222222	-3.520833333	3.7430555556	2	50.6667	-120.1667	346	BC
CA001179	-4.570967742	-8.374193548	3.8032258065	2	51.35	-116.5	1243	BC
CA001179	-4.570967742	-8.374193548	3.8032258065	2	51.4333	-116.3333	1640	BC
CA001179	-4.570967742	-8.374193548	3.8032258065	2	51.4	-116.55	1158	BC
CA001179	-4.570967742	-8.374193548	3.8032258065	2	51.45	-116.3333	1646	BC
CA001179	-4.570967742	-8.374193548	3.8032258065	2	51.45	-116.35	1602	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.2333	-116.6667	1143	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.3833	-116.5333	1219	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.4333	-116.5333	1280	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.35	-116.3333	2045	BC
CA00117R	-14.5	-3.793103448	-10.70689655	1	51.2333	-116.5667	1140	BC
CA001181	2.5774193548	-4.88	7.4574193548	2	55.1333	-121.4833	1102	BC
CA001181	2.5774193548	-4.88	7.4574193548	2	56.3333	-120.2833	773	BC
CA001181	2.5774193548	-4.88	7.4574193548	2	56.3	-121.0167	759	BC
CA001181	2.5774193548	-4.88	7.4574193548	2	55.6833	-121.6333	610	BC
CA001181	2.5774193548	-4.88	7.4574193548	2	55.7	-121.6167	660	BC
CA001181	2.5774193548	-4.88	7.4574193548	2	55.2333	-121.65	750	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.2333	-120.7333	695	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.2333	-120.7333	695	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.3167	-120.8167	732	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	55.7833	-124.7	766	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.0833	-121.9167	490	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.0333	-121.9	480	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.0333	-121.9667	461	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.1167	-121.8667	616	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.8	-124.9	680	BC
CA001183	-2.251612903	-6.689830508	4.4382176052	2	56.0167	-122.2	678	BC
CA001187	-0.35	-6.3375	5.9875	2	57.25	-122.7167	937	BC
CA001187	-0.35	-6.3375	5.9875	2	54.2833	-122.6333	716	BC
CA001187	-0.35	-6.3375	5.9875	2	55.8667	-120.5	793	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.4333	-130.0167	807	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.4167	-130.0333	803	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.4167	-130.0333	793	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.8333	-122.6	382	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.8167	-122.7	419	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.4833	-125.4	1529	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.8167	-122.7	419	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.8333	-122.6	382	BC
CA001192	-6.715294118	-11.55172414	4.8364300203	2	58.8333	-122.6	378	BC
CA001200	0.0806451613	-6.166666667	6.247311828	2	59.5667	-133.7	674	BC
CA001200	0.0806451613	-6.166666667	6.247311828	2	58.2167	-132.2667	958	BC
CA001200	0.0806451613	-6.166666667	6.247311828	2	56.9667	-130.25	610	BC
CA001206	1.064516129	-3.161290323	4.2258064516	2	59.45	-136.3667	274	BC
CA001206	1.064516129	-3.161290323	4.2258064516	2	58.8	-133.1	732	BC
CA002100	-11.04604651	-16.77582583	5.7297793142	2	61.65	-137.4833	966	YT
