                                                           The SAS System                        14:47 Tuesday, December 1, 2015   1

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                            1    AE000041    19.1667    17.4977     1.66894
                                            2    AEM00041    18.9549    17.0146     1.94032
                                            3    AG000060    20.1217    20.0189     0.10277
                                            4    AGE00147    17.9969    15.7281     2.26885
                                            5    AGM00060    22.6854    17.8522     4.83311
                                            6    AJ000037    27.4653    20.0835     7.38183
                                            7    ALM00013    16.4358    15.9400     0.49581
                                            8    AM000037    30.2159    26.0182     4.19768
                                            9    AMM00037    25.1787    22.5164     2.66229
                                           10    AO000066     7.1100     8.7000    -1.59000
                                           11    AQW00061     2.6661     1.9065     0.75968
                                           12    AR000000    15.8718    12.5532     3.31861
                                           13    AR000087    14.2428    13.6835     0.55922
                                           14    AR000870    12.7833    14.4894    -1.70602
                                           15    AR000875    12.1526    13.4500    -1.29744
                                           16    AR000877    19.4124    14.2304     5.18205
                                           17    ARM00087    14.8614    13.0408     1.82065
                                           18    ASM00094     4.2308     5.6324    -1.40154
                                           19    ASN00001     6.2881    11.0980    -4.80986
                                           20    ASN00002    10.6037    12.0078    -1.40414
                                           21    ASN00003     8.1236    12.5520    -4.42842
                                           22    ASN00004    12.3305    14.6924    -2.36191
                                           23    ASN00005    12.5658    14.1568    -1.59097
                                           24    ASN00006    14.1640    15.1602    -0.99615
                                           25    ASN00007    17.4940    17.2328     0.26115
                                           26    ASN00008    16.6806    12.7323     3.94833
                                           27    ASN00009    12.7552     7.7893     4.96590
                                           28    ASN00010    17.4591    10.9812     6.47793
                                           29    ASN00011    10.2603    11.3941    -1.13383
                                           30    ASN00012    16.0075    14.8214     1.18607
                                           31    ASN00013    18.1157    17.6507     0.46502
                                           32    ASN00014     6.0314    10.6814    -4.65004
                                           33    ASN00015    14.9661    17.4803    -2.51426
                                           34    ASN00016    19.4142    17.5874     1.82676
                                           35    ASN00017    20.1128    18.8323     1.28048
                                           36    ASN00018    14.4488    12.0534     2.39542
                                           37    ASN00019    21.9422    19.0394     2.90276
                                           38    ASN00020    18.9046    15.1823     3.72237
                                           39    ASN00021    18.9045    13.8683     5.03626
                                           40    ASN00022    13.7119    10.0353     3.67662
                                           41    ASN00023    16.2926    11.0124     5.28026
                                           42    ASN00024    16.8805    11.9698     4.91068
                                           43    ASN00025    18.8985    11.9805     6.91806
                                           44    ASN00026    14.0740     8.5034     5.57060
                                           45    ASN00027     5.0787     5.7290    -0.65032
                                           46    ASN00028     7.7221     8.5710    -0.84887
                                           47    ASN00029    10.7526    14.0810    -3.32846
                                           48    ASN00030    12.1975    15.9755    -3.77805
                                           49    ASN00031     7.6478     7.0650     0.58278
                                           50    ASN00032     7.7867     9.8528    -2.06614
                                           51    ASN00033     8.6620    13.0182    -4.35615
                                           52    ASN00034    11.2039    13.0226    -1.81866
                                           53    ASN00035    12.8199    16.7403    -3.92046
                                           54    ASN00036    14.6295    17.9900    -3.36047
                                           55    ASN00037    15.0580    18.3573    -3.29927
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   2

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                           56    ASN00038    18.2969    19.8775    -1.58054
                                           57    ASN00039     9.1850    12.6105    -3.42544
                                           58    ASN00040     9.0072    13.0427    -4.03555
                                           59    ASN00041    14.3303    16.0652    -1.73486
                                           60    ASN00042    14.4145    18.9155    -4.50099
                                           61    ASN00043    15.2886    19.8509    -4.56238
                                           62    ASN00044    16.4374    18.7013    -2.26391
                                           63    ASN00045    19.4851    19.1683     0.31683
                                           64    ASN00046    19.7249    18.3973     1.32756
                                           65    ASN00047    19.3360    15.9560     3.37998
                                           66    ASN00048    18.2353    18.7138    -0.47850
                                           67    ASN00049    19.1981    15.9700     3.22812
                                           68    ASN00050    19.2419    17.3404     1.90151
                                           69    ASN00051    18.2526    17.4119     0.84068
                                           70    ASN00052    17.1500    18.7974    -1.64739
                                           71    ASN00053    16.7774    16.8377    -0.06025
                                           72    ASN00054    17.3723    17.9104    -0.53810
                                           73    ASN00055    18.6398    16.0338     2.60596
                                           74    ASN00056    15.0127    14.4067     0.60598
                                           75    ASN00057    11.7733     9.9734     1.79995
                                           76    ASN00058     8.9265    12.9978    -4.07125
                                           77    ASN00059     8.3013    11.8671    -3.56581
                                           78    ASN00060     9.1474    12.1621    -3.01466
                                           79    ASN00061    13.2154    11.7313     1.48408
                                           80    ASN00062    18.1213    14.1965     3.92478
                                           81    ASN00063    16.8378    11.4969     5.34089
                                           82    ASN00064    18.6868    14.6066     4.08022
                                           83    ASN00065    19.2908    15.8561     3.43468
                                           84    ASN00066     9.8997    11.3945    -1.49487
                                           85    ASN00067    11.7260    13.5585    -1.83254
                                           86    ASN00068    10.8437    10.3347     0.50902
                                           87    ASN00069     8.9867     9.8763    -0.88962
                                           88    ASN00070    18.0518    12.3824     5.66936
                                           89    ASN00071    18.0519    11.9086     6.14333
                                           90    ASN00072    20.8590    14.3624     6.49660
                                           91    ASN00073    20.7845    15.2162     5.56835
                                           92    ASN00074    20.0734    15.5196     4.55388
                                           93    ASN00075    18.9790    15.9917     2.98735
                                           94    ASN00076    19.6409    14.1269     5.51398
                                           95    ASN00077    20.0887    14.4871     5.60161
                                           96    ASN00078    19.4018    11.5677     7.83406
                                           97    ASN00079    18.5964    10.6468     7.94966
                                           98    ASN00080    20.3347    13.1556     7.17903
                                           99    ASN00081    20.1371    13.1226     7.01452
                                          100    ASN00082    20.4537    12.8735     7.58026
                                          101    ASN00083    18.3322    11.7889     6.54332
                                          102    ASN00084    11.2438     8.7877     2.45611
                                          103    ASN00085    12.7854     8.4759     4.30959
                                          104    ASN00086    14.0224     8.5283     5.49414
                                          105    ASN00087    14.7208     9.7032     5.01757
