station	tmprg_max	tmprg_min	tmprg_diff	lat	lon	elev	state	name	gsn	hcn	wmo	rank_max	rank_min
AG000060680	0.8125	1.0034274194	-0.190927419	22.8	5.4331	1362		TAMANRASSET	GSN		60680	0	0
AGM00060563	3.1633952255	1.5376190476	1.6257761778	32.933	3.283	764		HASSIR'MEL			60563	0	0
AGM00060630	3.4133333333	2.6633333333	0.75	27.233	2.5	269		IN-SALAH			60630	0	0
AGM00060686	0.1333333333	5.43	-5.296666667	21.333	0.95	399		BORDJ-BADJ-MOKHTAR			60686	0	0
AJ000037735	26.894623656	0	26.894623656	40.7167	46.4167	311		GANCA			37735	5	0
AJ000037740	29.712479475	0	29.712479475	40.983	47.867	682		QABALA			37740	7	0
AM000037699	9.5855	7.0875	2.498	40.533	44.383	1892		APARAN			37699	1	0
AM000037704	7.6648148148	5.8024242424	1.8623905724	40.817	44.5	1379		VANADZOR			37704	0	0
AM000037711	6.0732142857	5.0850931677	0.988121118	40.867	45.15	733		IDJEVAN			37711	0	0
AM000037787	11.337164751	7.5720081136	3.7651566374	40.133	44.05	865		ARMAVIR			37787	1	0
AM000037792	9.8723214286	6.1769230769	3.6953983516	40.483	44.75	1761		HRAZDAN			37792	1	0
AM000037801	8.6352941176	6.4494505495	2.1858435682	40.35	45.1331	1961		GAVAR			37801	0	0
AM000037897	5.8511312217	5.9542028986	-0.103071677	39.533	46.017	1581		SISIAN			37897	0	0
AM000037959	5.8114224138	6.4541666667	-0.642744253	39.2	46.433	706		KAPAN			37959	0	0
AO000066160	7.2133333333	7.8166666667	-0.603333333	-8.85	13.233	74		LUANDA	GSN		66160	0	0
AO000066390	7.1333333333	3.7666666667	3.3666666667	-14.933	13.567	1761		LUBANGO (SA DA BAND	GSN		66390	0	0
AQW00061705	2.6661290323	1.9064516129	0.7596774194	-14.3306	-170.7136	3.7	AS	PAGO PAGO WSO AP	GSN		91765	0	0
AR000087007	8.2787878788	15.255925926	-6.977138047	-22.1	-65.6	3479		LA QUIACA OBSERVATO	GSN		87007	0	2
ARM00087563	0	0	0	-36.067	-59.1	38		LAS FLORES			87563	0	0
ARM00087800	15.670300752	7.6414979757	8.0288027762	-41.943	-71.532	344.7		EL BOLSON			87800	1	0
ARM00087852		0		-46.517	-71.017	429		PERITO MORENO ARPT			87852		0
ARM00087909	16.5	9.2490740741	7.2509259259	-49.307	-67.803	57.9		SAN JULIAN			87909	1	0
ARM00087938	7.9870588235	5.5579545455	2.4291042781	-54.843	-68.296	21.6		USHUAIA MALVINAS ARGENTINAS			87938	0	0
ASM00094299	5.4454285714	4.2716783217	1.1737502498	-16.288	149.965	9		WILLIS ISLAND	GSN		94299	0	0
ASM00094995	6.7769230769	7.0727272727	-0.295804196	-31.542	159.079	7		LORD HOWE ISLAND AERO	GSN		94995	0	0
ASM00094998	3.8042592593	4.1095975232	-0.305338264	-54.499	158.937	8.3		MACQUARIE ISLAND	GSN		94998	0	0
ASN00001006	8.6333333333	13.051612903	-4.41827957	-15.51	128.1503	3.8		WYNDHAM AERO			95214	0	1
ASN00001007	5.281827957	6.355483871	-1.073655914	-13.7542	126.1485	6		TROUGHTON ISLAND			94102	0	0
ASN00001013	8.11	10.948387097	-2.838387097	-15.4872	128.1247	11		WYNDHAM			94214	0	1
ASN00001018	9.1181409295	17.00125448	-7.883113551	-16.4181	126.1025	546		MOUNT ELIZABETH			94211	0	2
ASN00001019	4.79	11.6	-6.81	-14.2964	126.6453	23		KALUMBURU	GSN		94100	0	1
ASN00001020	5.1784946237	9.0129032258	-3.834408602	-14.09	126.3867	51		TRUSCOTT			95101	0	0
ASN00001025	8.7254608295	14.276551724	-5.551090895	-15.3797	126.3114	385		DOONGAN			94215	0	2
ASN00003003	6.6838709677	14.809677419	-8.125806452	-17.9475	122.2353	7.4		BROOME AIRPORT	GSN		94203	0	2
ASN00003030	7.1908866995	12.896551724	-5.705665025	-18.6844	121.7803	11		BIDYADANGA			94202	0	1
ASN00003032	8.6776344086	12.617956989	-3.940322581	-17.3706	123.6611	6.2		DERBY AERO			95205	0	1
ASN00003057	8.8597402597	11.204615385	-2.344875125	-16.4514	123.0086	7		CYGNET BAY			94201	0	1
ASN00008290	8.0164746544	7.4507444169	0.5657302375	-28.3008	113.5936	2.2		NORTH ISLAND			94405	0	0
ASN00009111	15.55218894	9.3402380952	6.2119508449	-32.44	116.0744	286		KARNET			95614	1	0
ASN00009114	12.915552995	9.0120512821	3.9035017133	-31.0164	115.33	4		LANCELIN			95606	1	0
ASN00009131	12.662962963	9.4461538462	3.2168091168	-30.3081	115.0311	1.6		JURIEN BAY			95600	1	0
ASN00009193	10.30921659	7.3451612903	2.9640552995	-32.0069	115.5022	43.1		ROTTNEST ISLAND			94602	1	0
ASN00009215	14.089976959	9.0887096774	5.0012672811	-31.9558	115.7619	41		SWANBOURNE			94614	1	0
