"","STATE","N1910wp","N1920wp","N1930wp","N1940wp","N1950wp","N1960wp","N1970wp","N1980wp","N1990wp","N2000wp","N2010wp","np1910p","np1920p","np1930p","np1940p","np1950p","np1960p","np1970p","np1980p","np1990p","np2000p","np2010p","ratio1910","ratio1920","ratio1930","ratio1940","ratio1950","ratio1960","ratio1970","ratio1980","ratio1990","ratio2000","ratio2010"
"1","Alabama",0.0231825638791724,0.0221480848744911,0.0214788282431387,0.0214351018690947,0.0202327893886276,0.0182170542095298,0.0169486361740403,0.0171880825601692,0.0162461865757939,0.0158022524373067,0.0154811500466122,0.00706153624441562,0.00710683172856488,0.00706153624441562,0.00710683172856488,0.00706153624441562,0.00710683172856488,0.00706153624441562,0.00710683172856488,0.00706153624441562,0.00710683172856488,NA,0.304605490627369,0.320877934540973,0.328767294215474,0.331551105843428,0.349014468978002,0.390119700299685,0.416643331764449,0.413474377010144,0.43465807877259,0.449735362522544,NA
"2","Alaska",0.000697788674771407,0.000519102076401703,0.000481142349695409,0.000548740109007581,0.000850106205949101,0.00126122571720024,0.00147817111875609,0.00177381788199521,0.00221158490157727,0.00222772991950385,0.00230037656447038,0.000360282461449777,0.000229252636405319,0.000360282461449777,0.000229252636405319,0.000360282461449777,0.000229252636405319,0.000360282461449777,0.000229252636405319,0.000360282461449777,0.000229252636405319,NA,0.516320305094954,0.441633056054111,0.7488063806436,0.41777998845379,0.42380876522074,0.181769712810987,0.243735286719011,0.129242488043616,0.162906909516713,0.102908631067978,NA
"3","Arizona",0.0022157360128696,0.0031518313114061,0.0035354198300192,0.00377757067402838,0.00495346470930224,0.00726153214719737,0.00871454759008583,0.0119985227711456,0.0147369622113876,0.0182311038714946,0.0207031882676147,0.00151318633808906,0.00275103163686382,0.00151318633808906,0.00275103163686382,0.00151318633808906,0.00275103163686382,0.00151318633808906,0.00275103163686382,0.00151318633808906,0.00275103163686382,NA,0.682927176026414,0.872835937287687,0.42800753823934,0.728254180862258,0.305480391380887,0.37885002518726,0.173639115794209,0.229280861430674,0.102679664667918,0.150897699681544,NA
"4","Arkansas",0.0170711772205415,0.0165268684984259,0.0150522930420703,0.0147496943753511,0.0126185424113871,0.00996118878666965,0.00946447896960536,0.0100925947403882,0.00945167544675639,0.00949961585435357,0.00944440531477414,0.00504395446029687,0.00580773345560141,0.00504395446029687,0.00580773345560141,0.00504395446029687,0.00580773345560141,0.00504395446029687,0.00580773345560141,0.00504395446029687,0.00580773345560141,NA,0.295466117839112,0.351411609292744,0.335095420093092,0.393752799739836,0.399725601884506,0.583036179715164,0.532935249419989,0.575445027269372,0.533657179482168,0.611365085140762,NA
"5","California",0.0257788980967444,0.0323223101359113,0.0460806013352443,0.0522635306289994,0.0699564987590549,0.0876473662704221,0.0981887942935003,0.104472921050116,0.119657577887951,0.120358960258055,0.120662330025317,0.030624009223231,0.0383616078251567,0.030624009223231,0.0383616078251567,0.030624009223231,0.0383616078251567,0.030624009223231,0.0383616078251567,0.030624009223231,0.0383616078251567,0.166666666666667,1.18794872877435,1.18684610301216,0.664574860914598,0.734003374120902,0.43775788906627,0.437681238553113,0.311889044402475,0.367191875555528,0.255930378700359,0.318726646881193,1.38126511092316
"6","Colorado",0.00866352629235112,0.00886262382708147,0.00840721541774954,0.00849922190568336,0.00875653072716656,0.00978092764641269,0.0108618575860553,0.0127566431874561,0.0132459317366947,0.015284030518932,0.0162891293347209,0.00526012393716674,0.00435580009170105,0.00526012393716674,0.00435580009170105,0.00526012393716674,0.00435580009170105,0.00526012393716674,0.00435580009170105,0.00526012393716674,0.00435580009170105,NA,0.60715738137839,0.491479744225526,0.625667795553498,0.51249398357141,0.600708671169,0.445336091745716,0.484274802490488,0.341453470767624,0.397112414719368,0.284990277028407,NA
"7","Connecticut",0.0120868934043986,0.013022174919045,0.0130427660371909,0.0129326794082005,0.0132646252425512,0.0141377934001001,0.0149189521485073,0.0137172083146717,0.0132166687246871,0.0121012789956728,0.0115761899691001,0.00598068886006629,0.00626623872841204,0.00598068886006629,0.00626623872841204,0.00598068886006629,0.00626623872841204,0.00598068886006629,0.00626623872841204,0.00598068886006629,0.00626623872841204,NA,0.494807777314378,0.481197554737775,0.458544517551922,0.484527492766787,0.450875071907875,0.443226078573738,0.400878614029517,0.456815890279203,0.452511066490992,0.51781623501555,NA
"8","Delaware",0.00219370377675897,0.00210337452474397,0.00193486138736785,0.00201646327768829,0.00210198792409474,0.0024887580760267,0.00269720390327879,0.00262347828510883,0.00267849439173651,0.00278443142944245,0.00290833028978058,0.000792621415189509,0.000687757909215956,0.000792621415189509,0.000687757909215956,0.000792621415189509,0.000687757909215956,0.000792621415189509,0.000687757909215956,0.000792621415189509,0.000687757909215956,NA,0.361316520300907,0.326978339389973,0.409652815630259,0.34107137820254,0.377081811985607,0.276345827198263,0.293867814081827,0.262154984517978,0.295920505801634,0.247001201733192,NA
"9","District of Columbia",0.00358966061855763,0.00412718974258975,0.00395177459856699,0.00501716159646388,0.00530099963523734,0.00426021901519422,0.0037227637909401,0.00281767742289468,0.00244019263360727,0.00203274509838619,0.00194892857042682,0.0027381467070183,0.00252177900045851,0.0027381467070183,0.00252177900045851,0.0027381467070183,0.00252177900045851,0.0027381467070183,0.00252177900045851,0.0027381467070183,0.00252177900045851,NA,0.76278707041629,0.611016007923136,0.692890406252224,0.502630611347234,0.516534030452864,0.591936468868031,0.735514488907943,0.894984990108559,1.12210268538127,1.24057807467378,NA
"10","Florida",0.00816037377428338,0.00913465346196594,0.0119170432603773,0.0143564497985841,0.0183134999889444,0.0276124934772095,0.0334106522862246,0.0430214278300143,0.0520201544230614,0.0567915206998847,0.0608958112295051,0.00324254215304799,0.0036680421824851,0.00324254215304799,0.0036680421824851,0.00324254215304799,0.0036680421824851,0.00324254215304799,0.0036680421824851,0.00324254215304799,0.0036680421824851,NA,0.397352160910392,0.40155241769792,0.272092840665356,0.255497858728755,0.177057479728368,0.13283994745033,0.0970511477977013,0.0852608192591426,0.0623324207513409,0.0645878493352714,NA
