"","STATE","pop1990","pop1980","pop1970","pop1960","pop1950","pop1940","pop1930","pop1920","pop1910","pop1900","pop1890","pop1880","pop1870","pop1860","pop1850","pop1840","pop1830","pop1820","pop1810","pop1800","pop1790","STATEID","pop2000","pop2010","pop1890per","pop1880per","pop1870per","pop1860per","pop1850per","pop1840per","pop1830per","pop1820per","pop1810per","pop1800per","pop1790per","pop1900per","pop1910per","pop1920per","pop1930per","pop1940per","pop1950per","pop1960per","pop1970per","pop1980per","pop1990per","pop2000per","pop2010per"
"1","Alabama",4040587,3893888,3444165,3266740,3061743,2832961,2646248,2348174,2138093,1828697,1513401,1262505,996992,964201,771623,590756,309527,127901,9046,1250,NA,"01",4447100,4779736,0.0240299559067908,0.0251549092953427,0.0258566939977833,0.0306647316293339,0.0332712627473517,0.0346213314581255,0.024067659759164,0.0132698681002024,0.0012494680506489,0.000235472167849082,NA,0.0239948166807169,0.0231825638791724,0.0221480848744911,0.0214788282431387,0.0214351018690947,0.0202327893886276,0.0182170542095298,0.0169486361740403,0.0171880825601692,0.0162461865757939,0.0158022524373067,0.0154811500466122
"2","Alaska",550043,401851,300382,226167,128643,72524,59278,55036,64356,63592,32052,33426,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02",626932,710231,0.000508925358662019,0.000665999737114805,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000834407440029786,0.000697788674771407,0.000519102076401703,0.000481142349695409,0.000548740109007581,0.000850106205949101,0.00126122571720024,0.00147817111875609,0.00177381788199521,0.00221158490157727,0.00222772991950385,0.00230037656447038
"3","Arizona",3665228,2718215,1770900,1302161,749587,499261,435573,334162,204354,122931,88243,40440,9658,6482,NA,NA,NA,NA,NA,NA,NA,"04",5130632,6392017,0.0014011325478726,0.000805750893583519,0.000250477386609512,0.000206148708019741,NA,NA,NA,NA,NA,NA,NA,0.00161301014294725,0.0022157360128696,0.0031518313114061,0.0035354198300192,0.00377757067402838,0.00495346470930224,0.00726153214719737,0.00871454759008583,0.0119985227711456,0.0147369622113876,0.0182311038714946,0.0207031882676147
"4","Arkansas",2350725,2286435,1923295,1786272,1909511,1949387,1854482,1752204,1574449,1311564,1128211,802525,484471,435450,209897,97574,30388,14273,1062,NA,NA,"05",2673400,2915918,0.017913864589462,0.0159899909958732,0.012564612752961,0.0138487280017273,0.00905045370197737,0.0057183368356735,0.0023628570197801,0.00148083930066371,0.000146687493896654,NA,NA,0.0172093779040638,0.0170711772205415,0.0165268684984259,0.0150522930420703,0.0147496943753511,0.0126185424113871,0.00996118878666965,0.00946447896960536,0.0100925947403882,0.00945167544675639,0.00949961585435357,0.00944440531477414
"5","California",29760021,23667902,19953134,15717204,10586223,6907387,5677251,3426861,2377549,1485053,1213398,864694,560247,379994,92597,NA,NA,NA,NA,NA,NA,"06",33871648,37253956,0.019266473616304,0.017228683560245,0.0145298410039159,0.01208504661451,0.00399264811522794,NA,NA,NA,NA,NA,NA,0.0194857729280185,0.0257788980967444,0.0323223101359113,0.0460806013352443,0.0522635306289994,0.0699564987590549,0.0876473662704221,0.0981887942935003,0.104472921050116,0.119657577887951,0.120358960258055,0.120662330025317
"6","Colorado",3294394,2889964,2207259,1753947,1325089,1123296,1035791,939629,799024,539700,413249,194327,39864,34277,NA,NA,NA,NA,NA,NA,NA,"08",4301261,5029196,0.0065616153607176,0.00387188807857083,0.00103386110372764,0.00109012021980757,NA,NA,NA,NA,NA,NA,NA,0.00708154634834689,0.00866352629235112,0.00886262382708147,0.00840721541774954,0.00849922190568336,0.00875653072716656,0.00978092764641269,0.0108618575860553,0.0127566431874561,0.0132459317366947,0.015284030518932,0.0162891293347209
"7","Connecticut",3287116,3107576,3031709,2535234,2007280,1709242,1606903,1380631,1114756,908420,746258,622700,537454,460147,370792,309978,297675,275248,261942,251002,237946,"09",3405565,3574097,0.0118491707320729,0.0124070494914554,0.0139387112593527,0.0146341730251712,0.0159880123539812,0.0181663006092648,0.0231460926471976,0.0285572798871354,0.0361804289324645,0.0472831880595643,0.0605581676131664,0.011919618924894,0.0120868934043986,0.013022174919045,0.0130427660371909,0.0129326794082005,0.0132646252425512,0.0141377934001001,0.0149189521485073,0.0137172083146717,0.0132166687246871,0.0121012789956728,0.0115761899691001
"8","Delaware",666168,594338,548104,446292,318085,266505,238380,223003,202322,184735,168493,146608,125015,112216,91532,78085,76748,72749,72674,64273,59096,"10",783600,897934,0.0026753513183901,0.00292110600906263,0.00324222721960946,0.0035688342207873,0.00394672686245822,0.00457618148086135,0.00596763691437684,0.00754778801120885,0.0100380102932631,0.0121076021153313,0.0150401581588582,0.00242395676238996,0.00219370377675897,0.00210337452474397,0.00193486138736785,0.00201646327768829,0.00210198792409474,0.0024887580760267,0.00269720390327879,0.00262347828510883,0.00267849439173651,0.00278443142944245,0.00290833028978058
"9","District of Columbia",606900,638333,756510,763956,802178,663091,486869,437571,331069,278718,230392,177624,131700,75080,51687,33745,30261,23336,15471,8144,NA,"11",572059,601723,0.00365819079099151,0.00353908745603064,0.00341560072649335,0.00238778849091672,0.00222866834920987,0.00197763007071353,0.00235298197563399,0.00242113542494838,0.00213691357634193,0.00153414826797034,NA,0.00365713254607847,0.00358966061855763,0.00412718974258975,0.00395177459856699,0.00501716159646388,0.00530099963523734,0.00426021901519422,0.0037227637909401,0.00281767742289468,0.00244019263360727,0.00203274509838619,0.00194892857042682
"10","Florida",12937926,9746324,6789443,4951560,2771305,1897414,1468211,968470,752619,528542,391422,269493,187748,140424,87445,54477,34730,NA,NA,NA,NA,"12",15982378,18801310,0.00621504373325236,0.00536954069150602,0.00486918910552523,0.00446594047747056,0.00377050136004522,0.00319263160060042,0.00270047467082279,NA,NA,NA,NA,0.00693513928117095,0.00816037377428338,0.00913465346196594,0.0119170432603773,0.0143564497985841,0.0183134999889444,0.0276124934772095,0.0334106522862246,0.0430214278300143,0.0520201544230614,0.0567915206998847,0.0608958112295051
