State  Y1910  Y1920  Y1930  Y1940  Y1950  Y1960  Y1970  Y1980  Y1990  Y2000  Y2010
Alabama          2.1   2.3   2.6   2.8   3.1   3.3   3.4   3.9   4.0   4.4   4.8
Alaska           0.1   0.1   0.1   0.1   0.1   0.2   0.3   0.4   0.6   0.6   0.7
Arizona          0.2   0.3   0.4   0.5   0.7   1.3   1.8   2.7   3.7   5.1   6.4
Arkansas         1.6   1.8   1.9   1.9   1.9   1.8   1.9   2.3   2.4   2.7   2.9
California       2.4   3.4   5.7   6.9  10.6  15.7  20.0  23.7  29.8  33.9  37.3
Colorado         0.8   0.9   1.0   1.1   1.3   1.8   2.2   2.9   3.3   4.3   5.0
Connecticut      1.1   1.4   1.6   1.7   2.0   2.5   3.0   3.1   3.3   3.4   3.6
Delaware         0.2   0.2   0.2   0.3   0.3   0.4   0.5   0.6   0.7   0.8   0.9
DC               0.3   0.4   0.5   0.7   0.8   0.8   0.8   0.6   0.6   0.6   0.6
Florida          0.8   1.0   1.5   1.9   2.8   5.0   6.8   9.7  12.9  16.0  18.8
Georgia          2.6   2.9   2.9   3.1   3.4   3.9   4.6   5.5   6.5   8.2   9.7
Hawaii           0.2   0.3   0.4   0.4   0.5   0.6   0.8   1.0   1.1   1.2   1.4
Idaho            0.3   0.4   0.4   0.5   0.6   0.7   0.7   0.9   1.0   1.3   1.6
Illinois         5.6   6.5   7.6   7.9   8.7  10.1  11.1  11.4  11.4  12.4  12.8
Indiana          2.7   2.9   3.2   3.4   3.9   4.7   5.2   5.5   5.5   6.1   6.5
Iowa             2.2   2.4   2.5   2.5   2.6   2.8   2.8   2.9   2.8   2.9   3.0
Kansas           1.7   1.8   1.9   1.8   1.9   2.2   2.2   2.4   2.5   2.7   2.9
Kentucky         2.3   2.4   2.6   2.8   2.9   3.0   3.2   3.7   3.7   4.0   4.3
Louisiana        1.7   1.8   2.1   2.4   2.7   3.3   3.6   4.2   4.2   4.5   4.5
Maine            0.7   0.8   0.8   0.8   0.9   1.0   1.0   1.1   1.2   1.3   1.3
Maryland         1.3   1.4   1.6   1.8   2.3   3.1   3.9   4.2   4.8   5.3   5.8
Massachusetts    3.4   3.9   4.2   4.3   4.7   5.1   5.7   5.7   6.0   6.3   6.5
Michigan         2.8   3.7   4.8   5.3   6.4   7.8   8.9   9.3   9.3   9.9   9.9
Minnesota        2.1   2.4   2.6   2.8   3.0   3.4   3.8   4.1   4.4   4.9   5.3
Mississippi      1.8   1.8   2.0   2.2   2.2   2.2   2.2   2.5   2.6   2.8   3.0
Missouri         3.3   3.4   3.6   3.8   4.0   4.3   4.7   4.9   5.1   5.6   6.0
Montana          0.4   0.5   0.5   0.6   0.6   0.7   0.7   0.8   0.8   0.9   1.0
Nebraska         1.2   1.3   1.4   1.3   1.3   1.4   1.5   1.6   1.6   1.7   1.8
Nevada           0.1   0.1   0.1   0.1   0.2   0.3   0.5   0.8   1.2   2.0   2.7
NewHampshire    0.4   0.4   0.5   0.5   0.5   0.6   0.7   0.9   1.1   1.2   1.3
NewJersey       2.5   3.2   4.0   4.2   4.8   6.1   7.2   7.4   7.7   8.4   8.8
NewMexico       0.3   0.4   0.4   0.5   0.7   1.0   1.0   1.3   1.5   1.8   2.1
NewYork         9.1  10.4  12.6  13.5  14.8  16.8  18.2  17.6  18.0  19.0  19.4
NorthCarolina   2.2   2.6   3.2   3.6   4.1   4.6   5.1   5.9   6.6   8.0   9.5
NorthDakota     0.6   0.6   0.7   0.6   0.6   0.6   0.6   0.7   0.6   0.6   0.7
Ohio             4.8   5.8   6.6   6.9   7.9   9.7  10.7  10.8  10.8  11.4  11.5
Oklahoma         1.7   2.0   2.4   2.3   2.2   2.3   2.6   3.0   3.1   3.5   3.8
Oregon           0.7   0.8   1.0   1.1   1.5   1.8   2.1   2.6   2.8   3.4   3.8
Pennsylvania     7.7   8.7   9.6   9.9  10.5  11.3  11.8  11.9  11.9  12.3  12.7
PuertoRico      1.1   1.3   1.5   1.9   2.2   2.3   2.7   3.2   3.5   3.8   3.7
RhodeIsland     0.5   0.6   0.7   0.7   0.8   0.9   0.9   0.9   1.0   1.0   1.1
SouthCarolina   1.5   1.7   1.7   1.9   2.1   2.4   2.6   3.1   3.5   4.0   4.6
SouthDakota     0.6   0.6   0.7   0.6   0.7   0.7   0.7   0.7   0.7   0.8   0.8
Tennessee        2.2   2.3   2.6   2.9   3.3   3.6   3.9   4.6   4.9   5.7   6.3
Texas            3.9   4.7   5.8   6.4   7.7   9.6  11.2  14.2  17.0  20.9  25.1
Utah             0.4   0.4   0.5   0.6   0.7   0.9   1.1   1.5   1.7   2.2   2.8
Vermont          0.4   0.4   0.4   0.4   0.4   0.4   0.4   0.5   0.6   0.6   0.6
Virginia         2.1   2.3   2.4   2.7   3.3   4.0   4.6   5.3   6.2   7.1   8.0
Washington       1.1   1.4   1.6   1.7   2.4   2.9   3.4   4.1   4.9   5.9   6.7
WestVirginia    1.2   1.5   1.7   1.9   2.0   1.9   1.7   1.9   1.8   1.8   1.9
Wisconsin        2.3   2.6   2.9   3.1   3.4   4.0   4.4   4.7   4.9   5.4   5.7
Wyoming          0.1   0.2   0.2   0.3   0.3   0.3   0.3   0.5   0.5   0.5   0.6
